,symbol,interval,trades_count,maker_trades,taker_trades,maker_ratio,avg_slippage_bps,calc_sharpe,expectancy_after_costs,annualised_return,total_return,max_drawdown,hysteresis_k_atr,min_hold_bars,trail_k,ttp_k,config_id,score
81,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.0,0,1.5,1.5,,
82,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.15,0,1.5,1.5,,
83,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.25,0,1.5,1.5,,
90,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.0,0,1.5,2.0,,
91,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.15,0,1.5,2.0,,
92,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.25,0,1.5,2.0,,
99,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.0,0,1.5,2.5,,
100,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.15,0,1.5,2.5,,
101,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.25,0,1.5,2.5,,
189,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.0,0,1.5,1.5,,
190,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.15,0,1.5,1.5,,
191,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.25,0,1.5,1.5,,
198,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.0,0,1.5,2.0,,
199,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.15,0,1.5,2.0,,
200,,,851,,,0.0,1.6176470588235292,-0.0250844820407227,7.552238287078858e-05,-7.754553560135324e-05,-0.0075908029817822,-0.0376413379552295,0.25,0,1.5,2.0,,
